day,ticker,side,pool,entry,stop,target,rr_target,R,reason
2026-02-11,NVDA,short,PDH,191.56,192.9,188.12,2.58,-1.0,stop
2026-02-11,TSLA,short,PDH,426.31,427.53,422.2,3.37,-1.0,stop
2026-02-11,MSFT,short,PMH,415.67,415.76,414.71,10.63,-1.0,stop
2026-02-11,AMD,long,PDL,215.35,213.74,219.39,2.51,2.51,target
2026-02-12,SPY,short,PMH,694.62,695.19,693.48,2.0,-1.0,stop
2026-02-12,AAPL,long,PDL,273.83,273.49,276.68,8.46,-1.0,stop
2026-02-12,TSLA,short,PMH,431.07,431.43,428.14,8.24,-1.0,stop
2026-02-12,MSFT,long,PDL,402.24,400.57,407.96,3.44,-1.0,stop
2026-02-12,AMD,short,PMH,215.72,216.2,213.26,5.1,-1.0,stop
2026-02-13,NVDA,long,PDL,187.19,186.16,188.3,1.08,-1.0,stop
2026-02-13,TSLA,short,PMH,417.52,418.47,414.0,3.74,3.74,target
2026-02-13,AMD,short,PMH,208.05,208.92,205.84,2.52,2.52,target
2026-02-18,SPY,short,PDH,684.79,685.3,683.7,2.13,-1.0,stop
2026-02-18,AAPL,long,PML,263.91,263.41,265.92,3.97,-1.0,stop
2026-02-18,TSLA,long,PML,411.83,411.1,413.78,2.68,-1.0,stop
2026-02-18,MSFT,long,PML,397.46,396.53,400.44,3.19,3.19,target
2026-02-18,AMD,long,PML,198.3,198.05,201.38,12.62,-1.0,stop
2026-02-19,SPY,long,PML,683.69,682.82,687.89,4.82,-1.0,stop
2026-02-19,QQQ,long,PML,602.62,601.59,608.05,5.3,-1.0,stop
2026-02-19,AAPL,long,PDL,262.75,262.21,264.3,2.9,-1.0,stop
2026-02-19,NVDA,long,PDL,187.19,186.86,189.24,6.04,-1.0,stop
2026-02-19,TSLA,long,PML,407.39,406.77,412.6,8.35,-1.0,stop
2026-02-19,MSFT,long,PML,399.12,398.57,402.56,6.23,6.23,target
2026-02-20,QQQ,long,PDL,600.7,600.05,605.82,7.86,-1.0,stop
2026-02-20,AAPL,long,PML,259.26,259.15,261.58,21.16,-1.0,stop
2026-02-20,NVDA,long,PML,186.58,186.47,188.43,15.79,-1.0,stop
2026-02-24,AAPL,short,PMH,267.6,267.94,266.31,3.75,-1.0,stop
2026-02-24,MSFT,long,PML,384.44,382.62,386.5,1.14,1.14,target
2026-02-25,SPY,short,PMH,689.91,690.36,687.37,5.51,-1.0,stop
2026-02-25,QQQ,short,PMH,610.97,611.24,607.7,12.32,-1.0,stop
2026-02-25,TSLA,short,PMH,411.26,411.68,408.49,6.76,-1.0,stop
2026-02-25,MSFT,short,PMH,391.38,391.8,389.1,5.56,-1.0,stop
2026-02-25,AMD,short,PMH,213.74,216.11,206.5,3.05,1.06,close
2026-02-26,SPY,short,PMH,693.87,694.24,691.66,6.02,6.02,target
2026-02-26,QQQ,short,PMH,616.84,617.32,614.17,5.45,-1.0,stop
2026-02-26,AAPL,short,PMH,274.93,274.94,273.12,242.46,-1.0,stop
2026-02-26,NVDA,short,PDH,197.5,198.1,195.41,3.45,3.45,target
2026-02-26,MSFT,short,PMH,401.25,401.26,398.72,161.63,-1.0,stop
2026-02-27,SPY,long,PML,683.71,683.4,688.99,16.65,-1.0,stop
2026-02-27,QQQ,long,PDL,604.01,603.46,609.85,10.58,-1.0,stop
2026-02-27,TSLA,long,PDL,403.59,403.41,409.44,32.04,-1.0,stop
2026-02-27,AMD,long,PDL,201.0,200.18,205.0,4.88,-1.0,stop
2026-03-03,QQQ,long,PDL,597.28,595.56,607.63,6.02,-1.0,stop
2026-03-03,NVDA,short,PMH,179.41,180.62,176.0,2.83,-1.0,stop
2026-03-03,TSLA,long,PML,390.85,389.45,399.54,6.23,-1.0,stop
2026-03-03,MSFT,long,PDL,390.6,390.38,395.23,21.5,-1.0,stop
2026-03-04,SPY,short,PDH,682.44,683.11,675.18,10.74,-1.0,stop
2026-03-04,QQQ,short,PMH,605.86,606.56,595.57,14.7,-1.0,stop
2026-03-04,TSLA,short,PMH,399.56,403.5,386.08,3.42,-1.0,stop
2026-03-04,MSFT,short,PMH,405.69,406.4,399.72,8.44,-1.0,stop
2026-03-04,AMD,short,PDH,193.53,193.81,188.22,18.95,-1.0,stop
2026-03-05,SPY,long,PML,682.15,681.54,687.09,8.01,-1.0,stop
2026-03-05,QQQ,long,PML,607.4,606.52,612.7,6.04,6.04,target
2026-03-05,TSLA,long,PML,402.44,402.1,406.9,13.28,-1.0,stop
2026-03-05,MSFT,long,PML,403.52,403.07,406.89,7.36,-1.0,stop
2026-03-05,AMD,long,PML,198.37,197.99,201.92,9.5,-1.0,stop
2026-03-06,AAPL,long,PML,258.87,257.97,260.97,2.35,-1.0,stop
2026-03-06,AMD,long,PML,196.95,196.06,200.8,4.35,-1.0,stop
2026-03-10,SPY,long,PML,675.92,674.61,679.92,3.03,3.03,target
2026-03-10,QQQ,short,PDH,609.13,609.9,604.8,5.63,-1.0,stop
2026-03-10,AAPL,long,PML,258.69,256.82,261.15,1.32,1.32,target
2026-03-10,NVDA,short,PDH,182.5,183.18,181.0,2.24,-1.0,stop
2026-03-10,AMD,short,PMH,204.28,205.29,200.8,3.42,-1.0,stop
2026-03-11,NVDA,short,PMH,185.51,186.96,184.06,1.01,-1.0,stop
2026-03-11,MSFT,short,PMH,408.22,408.36,403.94,29.18,-1.0,stop
2026-03-12,SPY,long,PML,669.87,668.62,674.43,3.63,-1.0,stop
2026-03-12,QQQ,long,PML,601.58,600.4,608.14,5.59,-1.0,stop
2026-03-12,TSLA,long,PML,404.66,403.3,409.29,3.39,-1.0,stop
2026-03-13,QQQ,short,PMH,601.54,602.51,597.05,4.67,4.67,target
2026-03-13,AAPL,long,PDL,254.22,253.87,256.95,7.86,-1.0,stop
2026-03-13,NVDA,short,PMH,185.5,186.18,182.03,5.13,5.13,target
2026-03-17,SPY,short,PMH,672.42,673.34,667.12,5.77,-1.0,stop
2026-03-18,SPY,long,PML,667.19,666.43,674.44,9.53,-1.0,stop
2026-03-18,QQQ,long,PDL,602.5,601.37,605.9,3.01,-1.0,stop
2026-03-18,AAPL,long,PDL,253.14,251.67,255.13,1.36,-1.0,stop
2026-03-18,NVDA,long,PML,181.73,181.31,183.98,5.38,-1.0,stop
2026-03-19,QQQ,long,PML,589.84,588.21,595.22,3.29,3.29,target
2026-03-19,AAPL,long,PML,248.9,248.45,251.7,6.12,-1.0,stop
2026-03-19,MSFT,long,PML,389.16,388.59,392.64,6.06,-1.0,stop
2026-03-19,AMD,long,PML,195.21,194.4,200.01,5.97,5.97,target
2026-03-20,SPY,long,PDL,656.08,654.53,659.81,2.42,-1.0,stop
2026-03-20,AAPL,long,PDL,247.22,246.94,249.81,9.13,-1.0,stop
2026-03-20,NVDA,long,PML,177.23,176.66,179.38,3.78,-1.0,stop
